62.5万 | 10391元/平米 | 侯一小区 | 2室1厅 | 60.15平米 | 南 | 精装 | 无
85万 | 12325元/平米 | 锦华中园 | 2室1厅 | 68.97平米 | 南 北 | 简装 | 无
188万 | 21657元/平米 | 兰溪文苑 | 2室2厅 | 86.81平米 | 南 北 | 简装 | 有
54万 | 9911元/平米 | 马栏小学北 | 2室1厅 | 54.49平米 | 南 北 | 简装 | 无
72万 | 13182元/平米 | 黑石礁广场 | 2室2厅 | 54.62平米 | 西南 | 简装 | 无
149.8万 | 15224元/平米 | 锦华北园 | 2室1厅 | 98.4平米 | 南 北 | 精装 | 无
81.8万 | 10727元/平米 | 刘家桥 | 3室1厅 | 76.26平米 | 南 北 | 简装 | 无
335万 | 23277元/平米 | 宏都筑景Ⅰ期 | 3室2厅 | 143.92平米 | 南 北 | 精装 | 有
135万 | 18431元/平米 | 阳光小筑 | 2室1厅 | 73.25平米 | 南 北 | 简装 | 无
440万 | 22788元/平米 | 星海国宝 | 3室2厅 | 193.09平米 | 南 北 | 精装 | 有
79万 | 11813元/平米 | 锦华中园 | 2室1厅 | 66.88平米 | 南 北 | 精装 | 无
240万 | 23758元/平米 | 壹品星海一期 | 2室1厅 | 101.02平米 | 南 | 简装 | 有
94万 | 11621元/平米 | 锦霞南园 | 2室2厅 | 80.89平米 | 南 北 | 简装 | 无
76.5万 | 10704元/平米 | 西苑小区 | 2室1厅 | 71.47平米 | 南 | 简装 | 无
139万 | 17104元/平米 | 阳光月秀 | 2室2厅 | 81.27平米 | 南 北 | 简装 | 无
113万 | 16259元/平米 | 锦华北园 | 2室1厅 | 69.5平米 | 南 北 | 简装 | 无
179万 | 16466元/平米 | 泰安花园 | 3室2厅 | 108.71平米 | 南 北 | 精装 | 无
55.8万 | 10440元/平米 | 马栏小学北 | 2室1厅 | 53.45平米 | 南 北 | 简装 | 无
40万 | 12144元/平米 | 民权小区 | 1室1厅 | 32.94平米 | 南 | 简装 | 无
59.8万 | 10293元/平米 | 侯一小区 | 2室1厅 | 58.1平米 | 南 北 | 精装 | 无
127万 | 12021元/平米 | 锦华中园 | 3室2厅 | 105.65平米 | 南 北 | 精装 | 无
490万 | 29994元/平米 | 星海人家 | 3室2厅 | 163.37平米 | 南 北 | 其他 | 无
235万 | 24675元/平米 | 颐和星海 | 2室1厅 | 95.24平米 | 南 | 精装 | 有
102万 | 20699元/平米 | 帝欧花园 | 2室1厅 | 49.28平米 | 南 北 | 精装 | 无
195万 | 22404元/平米 | 星海融汇 | 2室1厅 | 87.04平米 | 南 北 | 精装 | 有
388万 | 17912元/平米 | 星海国宝 | 3室2厅 | 216.62平米 | 南 北 | 精装 | 有
59.5万 | 7620元/平米 | 锦云中园 | 3室1厅 | 78.09平米 | 东南 | 简装 | 无
330万 | 20978元/平米 | 兰亭山水 | 4室2厅 | 157.31平米 | 南 北 | 精装 | 无
65.8万 | 12434元/平米 | 新居佳园 | 1室1厅 | 52.92平米 | 东南 | 简装 | 暂无数据
169万 | 16800元/平米 | 帝欧花园 | 2室2厅 | 100.6平米 | 南 北 | 精装 | 有
100万 | 16858元/平米 | 香洲心城 | 2室1厅 | 59.32平米 | 东 南 | 简装 | 有
138.5万 | 16965元/平米 | 阳光月秀 | 2室2厅 | 81.64平米 | 南 北 | 简装 | 无
255万 | 25480元/平米 | 星海人家 | 2室2厅 | 100.08平米 | 南 北 | 简装 | 无
300万 | 32584元/平米 | 世嘉星海 | 2室1厅 | 92.07平米 | 南 北 | 精装 | 有
169万 | 25985元/平米 | 79中永平 | 2室1厅 | 65.04平米 | 南 北 | 简装 | 无
169万 | 17964元/平米 | 万科城市花园 | 2室2厅 | 94.08平米 | 东南 北 | 简装 | 无
88万 | 9098元/平米 | 绿波小区 | 3室2厅 | 96.73平米 | 东 西 | 精装 | 无
129万 | 11835元/平米 | 星台花园一期 | 3室2厅 | 109平米 | 南 北 | 简装 | 无
105万 | 16790元/平米 | 帝欧花园 | 1室1厅 | 62.54平米 | 南 | 简装 | 有
143万 | 13844元/平米 | 兴港花园 | 2室2厅 | 103.3平米 | 南 北 | 简装 | 无
60万 | 11595元/平米 | 星海公园 | 2室1厅 | 51.75平米 | 南 | 其他 | 无
